provincia,total,acumuladas,mes,cod_provincia,fecha,anno
santa elena,129,304,2,24,2021-02-01 00:00:00,2021
santo domingo de los tsachilas,267,512,2,23,2021-02-01 00:00:00,2021
sucumbios,75,158,2,21,2021-02-01 00:00:00,2021
tungurahua,350,797,2,18,2021-02-01 00:00:00,2021
zamora chinchipe,33,65,2,19,2021-02-01 00:00:00,2021
azuay,514,1489,3,1,2021-03-01 00:00:00,2021
bolivar,145,348,3,2,2021-03-01 00:00:00,2021
carchi,93,316,3,4,2021-03-01 00:00:00,2021
cañar,161,427,3,3,2021-03-01 00:00:00,2021
chimborazo,328,902,3,6,2021-03-01 00:00:00,2021
cotopaxi,260,805,3,5,2021-03-01 00:00:00,2021
el oro,487,1385,3,7,2021-03-01 00:00:00,2021
esmeraldas,285,631,3,8,2021-03-01 00:00:00,2021
galapagos,11,29,3,20,2021-03-01 00:00:00,2021
guayas,3122,8224,3,9,2021-03-01 00:00:00,2021
imbabura,248,756,3,10,2021-03-01 00:00:00,2021
loja,433,959,3,11,2021-03-01 00:00:00,2021
los rios,571,1462,3,12,2021-03-01 00:00:00,2021
manabi,1099,2710,3,13,2021-03-01 00:00:00,2021
morona santiago,60,163,3,14,2021-03-01 00:00:00,2021
napo,50,147,3,15,2021-03-01 00:00:00,2021
orellana,51,138,3,22,2021-03-01 00:00:00,2021
pastaza,43,113,3,16,2021-03-01 00:00:00,2021
pichincha,1924,5363,3,17,2021-03-01 00:00:00,2021
santa elena,195,499,3,24,2021-03-01 00:00:00,2021
santo domingo de los tsachilas,382,894,3,23,2021-03-01 00:00:00,2021
sucumbios,101,259,3,21,2021-03-01 00:00:00,2021
tungurahua,359,1156,3,18,2021-03-01 00:00:00,2021
zamora chinchipe,39,104,3,19,2021-03-01 00:00:00,2021
azuay,439,1928,4,1,2021-04-01 00:00:00,2021
bolivar,116,464,4,2,2021-04-01 00:00:00,2021
carchi,70,386,4,4,2021-04-01 00:00:00,2021
cañar,106,533,4,3,2021-04-01 00:00:00,2021
chimborazo,281,1183,4,6,2021-04-01 00:00:00,2021
cotopaxi,252,1057,4,5,2021-04-01 00:00:00,2021
el oro,504,1889,4,7,2021-04-01 00:00:00,2021
esmeraldas,184,815,4,8,2021-04-01 00:00:00,2021
galapagos,6,35,4,20,2021-04-01 00:00:00,2021
guayas,3097,11321,4,9,2021-04-01 00:00:00,2021
imbabura,242,998,4,10,2021-04-01 00:00:00,2021
loja,362,1321,4,11,2021-04-01 00:00:00,2021
los rios,511,1973,4,12,2021-04-01 00:00:00,2021
manabi,891,3601,4,13,2021-04-01 00:00:00,2021
morona santiago,41,204,4,14,2021-04-01 00:00:00,2021
napo,40,187,4,15,2021-04-01 00:00:00,2021
orellana,37,175,4,22,2021-04-01 00:00:00,2021
pastaza,33,146,4,16,2021-04-01 00:00:00,2021
pichincha,1998,7361,4,17,2021-04-01 00:00:00,2021
santa elena,210,709,4,24,2021-04-01 00:00:00,2021
santo domingo de los tsachilas,341,1235,4,23,2021-04-01 00:00:00,2021
sucumbios,97,356,4,21,2021-04-01 00:00:00,2021
tungurahua,394,1550,4,18,2021-04-01 00:00:00,2021
zamora chinchipe,60,164,4,19,2021-04-01 00:00:00,2021
